timestamp,log_type,message
0,Log,Loaded: C:\Users\andrea\Desktop\MyPam Suite Working Folder\MyPam-Suite\Participant Data and Results\participant_list.csv
2.896615,Log,Updating: C:\Users\andrea\Desktop\MyPam Suite Working Folder\MyPam-Suite\Participant Data and Results\participant_list.csv
5.590236,Exception,NullReferenceException: Object reference not set to an instance of an object
9.175944,Exception,NullReferenceException: Object reference not set to an instance of an object
17.03949,Exception,NullReferenceException: Object reference not set to an instance of an object
