directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,times_crashed,reference_trajectory_filename,playercursor_movement_filename
traffic_jam/P_200415150448/S001,traffic_jam,P_200415150448,1,1,1,1,4.014328,16.02065,1,reference_trajectory_T001.csv,playercursor_movement_T001.csv
traffic_jam/P_200415150448/S001,traffic_jam,P_200415150448,1,2,1,2,16.02065,28.03147,1,reference_trajectory_T002.csv,playercursor_movement_T002.csv
traffic_jam/P_200415150448/S001,traffic_jam,P_200415150448,1,3,1,3,28.03147,40.04231,0,reference_trajectory_T003.csv,playercursor_movement_T003.csv
traffic_jam/P_200415150448/S001,traffic_jam,P_200415150448,1,4,1,4,40.04231,52.05359,1,reference_trajectory_T004.csv,playercursor_movement_T004.csv
