-4.371139E-08,-4.371139E-08
-0.1986694,-0.1947093
-0.3894184,-0.3586781
-0.5646425,-0.4660196
-0.7173561,-0.4997868
-0.8414711,-0.4546486
-0.9320391,-0.3377316
-0.9854498,-0.1674938
-0.9995736,0.02918714
-0.9738476,0.2212605
-0.9092973,0.3784014
-0.8084961,0.4758012
-0.675463,0.4980823
-0.5155009,0.4417271
-0.3349878,0.3156331
-0.1411194,0.1397071
0.05837459,-0.05827505
0.2555418,-0.2470573
0.4425209,-0.3968343
0.6118585,-0.48396
0.7568029,-0.494679
0.871576,-0.4272992
0.9516022,-0.2924584
0.993691,-0.1114449
0.9961646,0.08716327
0.9589244,0.2720103
0.8834549,0.413913
0.7727649,0.490468
0.6312673,0.489589
0.4646031,0.4114149
0.2794167,0.2682875
0.08309086,0.08280353
