timestamp,log_type,message
13.47867,Log,Reaction Time = 0.9733827
13.49493,Log,Reaction Time = 0.9733827
13.51122,Log,Reaction Time = 0.9733827
13.52782,Log,Reaction Time = 0.9733827
13.5441,Log,Reaction Time = 0.9733827
13.56067,Log,Reaction Time = 0.9733827
13.57807,Log,Reaction Time = 0.9733827
13.59436,Log,Reaction Time = 0.9733827
13.61037,Log,Reaction Time = 0.9733827
13.62799,Log,Reaction Time = 0.9733827
13.64419,Log,Reaction Time = 0.9733827
13.66066,Log,Reaction Time = 0.9733827
13.67663,Log,Reaction Time = 0.9733827
13.6932,Log,Reaction Time = 0.9733827
13.7098,Log,Reaction Time = 0.9733827
13.72675,Log,Reaction Time = 0.9733827
13.743,Log,Reaction Time = 0.9733827
13.75956,Log,Reaction Time = 0.9733827
13.77654,Log,Reaction Time = 0.9733827
13.7926,Log,Reaction Time = 0.9733827
13.80945,Log,Reaction Time = 0.9733827
13.82616,Log,Reaction Time = 0.9733827
13.8423,Log,Reaction Time = 0.9733827
13.85911,Log,Reaction Time = 0.9733827
13.87605,Log,Reaction Time = 0.9733827
13.89221,Log,Reaction Time = 0.9733827
13.90857,Log,Reaction Time = 0.9733827
13.92513,Log,Reaction Time = 0.9733827
13.94236,Log,Reaction Time = 0.9733827
13.95827,Log,Reaction Time = 0.9733827
13.97483,Log,Reaction Time = 0.9733827
13.99147,Log,Reaction Time = 0.9733827
14.00843,Log,Reaction Time = 0.9733827
14.02487,Log,Reaction Time = 0.9733827
14.04153,Log,Reaction Time = 0.9733827
14.05767,Log,Reaction Time = 0.9733827
14.0743,Log,Reaction Time = 0.9733827
14.0908,Log,Reaction Time = 0.9733827
14.10761,Log,Reaction Time = 0.9733827
14.12423,Log,Reaction Time = 0.9733827
14.1405,Log,Reaction Time = 0.9733827
14.15788,Log,Reaction Time = 0.9733827
14.17363,Log,Reaction Time = 0.9733827
14.1907,Log,Reaction Time = 0.9733827
14.20676,Log,Reaction Time = 0.9733827
14.22356,Log,Reaction Time = 0.9733827
14.2399,Log,Reaction Time = 0.9733827
14.25647,Log,Reaction Time = 0.9733827
14.27303,Log,Reaction Time = 0.9733827
16.90165,Exception,NullReferenceException: Object reference not set to an instance of an object
17.66371,Log,Reaction Time = 1.419247
17.68036,Log,Reaction Time = 1.419247
17.69728,Log,Reaction Time = 1.419247
17.71341,Log,Reaction Time = 1.419247
17.73045,Log,Reaction Time = 1.419247
17.74724,Log,Reaction Time = 1.419247
17.76329,Log,Reaction Time = 1.419247
17.77968,Log,Reaction Time = 1.419247
17.79625,Log,Reaction Time = 1.419247
17.81281,Log,Reaction Time = 1.419247
