directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,times_crashed,trajectory_error,reference_trajectory_filename,playercursor_movement_filename
traffic_jam/P_200415234601/S001,traffic_jam,P_200415234601,1,1,1,1,0.12,12.13437,1,0.879941,reference_trajectory_circle_T111.csv,playercursor_movement_T001.csv
traffic_jam/P_200415234601/S001,traffic_jam,P_200415234601,1,2,1,2,12.13437,24.1423,5,1.101518,reference_trajectory_vertical_ellipse_T111.csv,playercursor_movement_T002.csv
traffic_jam/P_200415234601/S001,traffic_jam,P_200415234601,1,3,1,3,24.1423,36.15273,0,1.571341,reference_trajectory_horizontal_ellipse_T111.csv,playercursor_movement_T003.csv
traffic_jam/P_200415234601/S001,traffic_jam,P_200415234601,1,4,1,4,36.15273,48.1673,3,1.941866,reference_trajectory_figure_8_T111.csv,playercursor_movement_T004.csv
