directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time
advanced_example_1/P_200411182815/S001,advanced_example_1,P_200411182815,1,1,1,1,3.689432,5.10747
advanced_example_1/P_200411182815/S001,advanced_example_1,P_200411182815,1,2,1,2,7.64325,8.315291
advanced_example_1/P_200411182815/S001,advanced_example_1,P_200411182815,1,3,1,3,10.78374,11.85317
advanced_example_1/P_200411182815/S001,advanced_example_1,P_200411182815,1,4,1,4,15.03381,15.69033
advanced_example_1/P_200411182815/S001,advanced_example_1,P_200411182815,1,5,1,5,17.93553,18.42658
advanced_example_1/P_200411182815/S001,advanced_example_1,P_200411182815,1,6,1,6,21.83906,22.34634
advanced_example_1/P_200411182815/S001,advanced_example_1,P_200411182815,1,7,1,7,24.98036,25.73597
advanced_example_1/P_200411182815/S001,advanced_example_1,P_200411182815,1,8,1,8,28.75111,29.2252
advanced_example_1/P_200411182815/S001,advanced_example_1,P_200411182815,1,9,1,9,32.60494,33.9312
advanced_example_1/P_200411182815/S001,advanced_example_1,P_200411182815,1,10,1,10,36.81466,37.35419
