x,y
-0.8594727,0.178022
-0.8922605,0.07851747
-0.8993239,-0.02325091
-0.8804595,-0.124349
-0.836211,-0.221862
-0.7678542,-0.3129785
-0.6773598,-0.3950718
-0.5673367,-0.465775
-0.440957,-0.5230497
-0.3018642,-0.5652445
-0.1540687,-0.5911431
-0.001831186,-0.5999988
0.1504591,-0.5915562
0.2984115,-0.5660588
0.4377606,-0.5242415
0.5644888,-0.4673102
0.6749426,-0.3969061
0.7659372,-0.3150592
0.8348498,-0.2241288
0.8796932,-0.1267366
0.8991746,-0.02569089
0.8927324,0.07609581
0.8605525,0.1756884
0.8035623,0.270216
0.7234053,0.356953
0.6223921,0.4333991
0.5034352,0.4973499
0.3699638,0.5469621
0.2258265,0.5808049
0.07517821,0.5979031
-0.07763711,0.5977635
-0.2282145,0.58039
-0.3722124,0.5462836
-0.5054793,0.4964276
-0.6241723,0.4322597
-0.7248708,0.3556292
