directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,times_crashed,trajectory_error,reference_trajectory_filename,playercursor_movement_filename
traffic_jam/P_200415225552/S001,traffic_jam,P_200415225552,1,1,1,1,1.014789,13.02346,0,0,reference_trajectory_T001.csv,playercursor_movement_T001.csv
traffic_jam/P_200415225552/S001,traffic_jam,P_200415225552,1,2,1,2,13.02346,25.03402,0,0,reference_trajectory_T002.csv,playercursor_movement_T002.csv
traffic_jam/P_200415225552/S001,traffic_jam,P_200415225552,1,3,1,3,25.03402,37.04103,0,0,reference_trajectory_T003.csv,playercursor_movement_T003.csv
traffic_jam/P_200415225552/S001,traffic_jam,P_200415225552,1,4,1,4,37.04103,49.05387,1,0,reference_trajectory_T004.csv,playercursor_movement_T004.csv
