directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time
advanced_example_1/P_200411180556/S001,advanced_example_1,P_200411180556,1,1,1,1,30.99611,
advanced_example_1/P_200411180556/S001,advanced_example_1,P_200411180556,1,2,1,2,35.52884,36.07048








