directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,times_crashed,reference_trajectory_filename,playercursor_movement_filename
traffic_jam/P_200415153402/S001,traffic_jam,P_200415153402,1,1,1,1,13.82865,25.84011,6,reference_trajectory_T001.csv,playercursor_movement_T001.csv
traffic_jam/P_200415153402/S001,traffic_jam,P_200415153402,1,2,1,2,25.84011,34.07466,0,reference_trajectory_T002.csv,playercursor_movement_T002.csv


