x,y
-0.5729818,0.267033
-0.5948403,0.1177762
-0.5995494,-0.03487637
-0.5869731,-0.1865234
-0.557474,-0.3327929
-0.5119028,-0.4694677
-0.4515732,-0.5926076
-0.3782245,-0.6986624
-0.2939713,-0.7845744
-0.2012428,-0.8478667
-0.1027124,-0.8867146
-0.001220791,-0.8999981
0.1003061,-0.8873342
0.198941,-0.8490881
0.2918404,-0.7863622
0.3763259,-0.7009653
0.4499618,-0.5953591
0.5106248,-0.4725887
0.5565665,-0.3361932
0.5864621,-0.1901049
0.5994498,-0.03853634
0.595155,0.1141437
0.5737017,0.2635325
0.5357082,0.405324
0.4822702,0.5354294
0.414928,0.6500986
0.3356235,0.7460248
0.2466425,0.820443
0.150551,0.8712074
0.05011881,0.8968546
-0.05175808,0.8966451
-0.152143,0.8705849
-0.2481416,0.8194253
-0.3369862,0.7446413
-0.4161149,0.6483895
-0.4832472,0.5334438
-0.5364473,0.4031187
-0.5741814,0.2611715
-0.5953614,0.1116954
-0.5993771,-0.04100173
-0.5861124,-0.1925168
-0.5559498,-0.3384814
-0.5097589,-0.4746875
-0.4488718,-0.5972075
-0.3750432,-0.7025104
-0.2904019,-0.7875596
-0.1973882,-0.8499031
-0.09868363,-0.8877435
0.002865416,-0.8999897
0.1043324,-0.8862889
0.2027915,-0.8470361
0.2954039,-0.7833627
0.3794993,-0.6971052
0.452654,-0.5907493
0.5127586,-0.4673619
0.5580799,-0.3305002
0.5873115,-0.1841108
0.5996108,-0.03241264
0.594623,0.12022
0.5724919,0.2693866
0.533856,0.410786
0.4798285,0.5403429
